epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.0697,1.86279,4.1513,1.89433,0.00899,1,0.12262,0.08382,1.2817,3.83375,1.40538,6.666e-05,6.666e-05,6.666e-05
2,103.56,1.63495,3.97491,1.60667,0.01059,1,0.34065,0.24162,1.1645,3.7915,1.31236,0.000142047,0.000142047,0.000142047
3,149.089,1.6466,3.53509,1.60337,0.0128,1,0.60036,0.36829,1.18964,3.77983,1.32037,0.000214867,0.000214867,0.000214867
4,194.748,1.51165,3.17539,1.57024,0.02231,1,0.43298,0.26397,1.14874,3.70711,1.36345,0.000285121,0.000285121,0.000285121
5,238.748,1.49855,2.64337,1.49361,0.02961,1,0.509,0.32768,1.06349,3.43915,1.28507,0.000352809,0.000352809,0.000352809
6,282.105,1.63006,2.69478,1.62165,0.02848,1,0.54433,0.31096,1.03088,3.17751,1.3577,0.00041793,0.00041793,0.00041793
7,323.617,1.36989,2.40496,1.45971,0.03143,1,0.54207,0.29108,0.9946,3.23734,1.33084,0.000480485,0.000480485,0.000480485
8,367.091,1.54773,2.22786,1.39461,1,0.12431,0.50994,0.30985,1.09277,3.13166,1.36832,0.000540474,0.000540474,0.000540474
9,405.784,1.32155,2.09845,1.33056,1,0.31132,0.70102,0.39249,1.20716,2.88251,1.38556,0.000597896,0.000597896,0.000597896
10,447.231,1.36489,1.95839,1.35565,0.9665,0.49859,0.72308,0.4368,1.27961,2.68666,1.48364,0.000652751,0.000652751,0.000652751
11,487.452,1.50539,2.04711,1.53237,1,0.29839,0.68199,0.3488,1.35507,2.76465,1.48444,0.000705041,0.000705041,0.000705041
12,526.475,1.4832,2.14982,1.48065,0.81374,0.4375,0.70437,0.37222,1.23457,2.30155,1.4415,0.000754763,0.000754763,0.000754763
13,566.516,1.37538,2.10923,1.40482,0.98316,0.4375,0.73211,0.45807,1.20038,1.99746,1.34887,0.00080192,0.00080192,0.00080192
14,605.027,1.4108,2.06507,1.39409,0.98316,0.4375,0.73211,0.45807,1.20038,1.99746,1.34887,0.00084651,0.00084651,0.00084651
15,648.232,1.4136,2.05786,1.39818,0.99814,0.4375,0.7379,0.48758,1.37897,1.95496,1.47323,0.000854359,0.000854359,0.000854359
16,687.629,1.38955,1.94557,1.39565,1,0.482,0.75816,0.43873,1.49912,1.9236,1.51663,0.000836027,0.000836027,0.000836027
17,723.966,1.30044,1.83785,1.29516,0.98395,0.4375,0.56104,0.30374,1.4649,1.98949,1.55298,0.000817696,0.000817696,0.000817696
18,762.629,1.32801,1.97907,1.34991,0.94313,0.48821,0.73637,0.33691,1.61931,2.08883,1.6124,0.000799365,0.000799365,0.000799365
19,802.245,1.33276,1.83869,1.33382,0.6865,0.75,0.75851,0.32933,1.62251,2.28114,1.61478,0.000781033,0.000781033,0.000781033
20,846.291,1.36645,1.82863,1.32681,0.80397,0.75,0.75384,0.40246,1.67095,2.16707,1.6621,0.000762702,0.000762702,0.000762702
21,885.129,1.33544,1.64938,1.333,0.84805,0.75,0.765,0.43026,1.60069,1.98961,1.66168,0.00074437,0.00074437,0.00074437
22,923.05,1.25429,1.73403,1.34958,0.84805,0.75,0.765,0.43026,1.60069,1.98961,1.66168,0.000726038,0.000726038,0.000726038
23,960.69,1.23914,1.82403,1.33648,0.79196,0.73059,0.71603,0.37928,1.6787,2.20141,1.73479,0.000707707,0.000707707,0.000707707
24,996.984,1.1873,1.66819,1.2651,0.61419,0.6875,0.60443,0.31693,1.59565,2.61292,1.82263,0.000689376,0.000689376,0.000689376
25,1035.35,1.18324,1.56385,1.26302,0.87521,0.6875,0.75489,0.4214,1.65116,2.04491,1.77075,0.000671044,0.000671044,0.000671044
26,1076.32,1.2442,1.63606,1.31987,0.89587,0.75,0.905,0.55856,1.32072,1.64615,1.62579,0.000652712,0.000652712,0.000652712
27,1127.57,1.12877,1.50428,1.24787,0.94804,0.75,0.91167,0.48463,1.43855,1.66089,1.79004,0.000634381,0.000634381,0.000634381
28,1193.92,1.21404,1.56463,1.28432,0.74945,0.97725,0.91167,0.44123,1.53176,1.57002,1.89957,0.000616049,0.000616049,0.000616049
29,1305.62,1.19266,1.48336,1.28308,0.97577,0.71181,0.91167,0.4373,1.55072,1.55714,1.83513,0.000597718,0.000597718,0.000597718
30,1363.71,1.28294,1.48842,1.28669,0.97577,0.71181,0.91167,0.4373,1.55072,1.55714,1.83513,0.000579386,0.000579386,0.000579386
31,1408.15,1.14273,1.65212,1.27022,0.97354,0.71672,0.845,0.44216,1.55101,1.63761,1.74615,0.000561055,0.000561055,0.000561055
32,1448.75,1.16467,1.45839,1.23599,0.95633,0.70864,0.845,0.44916,1.47357,1.56073,1.64686,0.000542723,0.000542723,0.000542723
33,1487.37,1.16253,1.43997,1.21685,0.9498,0.70983,0.845,0.50596,1.40949,1.43903,1.58866,0.000524392,0.000524392,0.000524392
34,1524.9,1.19431,1.40429,1.23427,0.94678,0.74403,0.795,0.51188,1.3205,1.40849,1.47879,0.00050606,0.00050606,0.00050606
