epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,165.062,1.38368,2.02295,1.44598,0.93081,0.71112,0.78815,0.50779,1.19792,1.91059,1.41409,9.999e-05,9.999e-05,9.999e-05
2,277.23,1.30617,1.96591,1.45631,0.83282,0.7111,0.75793,0.51302,1.12875,2.0734,1.36127,0.000207607,0.000207607,0.000207607
3,520.213,1.28393,1.91669,1.44683,0.82248,0.7255,0.79779,0.51623,1.11329,2.12609,1.27894,0.000311558,0.000311558,0.000311558
4,647.814,1.19543,1.93259,1.33919,0.73018,0.70805,0.70018,0.43903,1.29362,2.21688,1.3813,0.000411842,0.000411842,0.000411842
5,726.461,1.28856,1.92148,1.47125,0.89663,0.76071,0.83123,0.47815,1.20131,2.12962,1.32338,0.00050846,0.00050846,0.00050846
6,809.525,1.17618,1.90563,1.40603,0.78997,0.68943,0.81663,0.52552,1.22862,2.21136,1.37903,0.000601412,0.000601412,0.000601412
7,957.416,1.17844,1.69534,1.32133,0.83038,0.6469,0.84253,0.53742,1.22847,2.07242,1.3967,0.000690698,0.000690698,0.000690698
8,1054.21,1.15576,1.73175,1.30918,0.60269,0.93333,0.93607,0.62175,1.21321,1.94844,1.3103,0.000776317,0.000776317,0.000776317
9,1159.65,1.15011,1.6724,1.3231,0.8255,0.93333,0.94138,0.62322,1.17486,1.94018,1.25601,0.00085827,0.00085827,0.00085827
10,1411.62,1.1403,1.6445,1.31976,0.86467,0.88352,0.93421,0.69228,1.18056,1.87179,1.34148,0.000936556,0.000936556,0.000936556
11,1521.31,1.2307,1.65032,1.33315,0.88449,0.86704,0.93633,0.68464,1.19035,1.96195,1.36536,0.000927685,0.000927685,0.000927685
12,1631.2,1.25699,1.71803,1.33463,0.65543,0.76667,0.8614,0.57008,1.25265,2.08802,1.38779,0.000909353,0.000909353,0.000909353
13,1718.93,1.12932,1.59465,1.28436,0.53534,0.81992,0.78579,0.51644,1.31547,2.10811,1.37524,0.000891022,0.000891022,0.000891022
14,1796.75,1.21364,1.56594,1.32612,0.83496,0.88299,0.92947,0.62997,1.2393,2.01135,1.35513,0.000872691,0.000872691,0.000872691
15,1870.53,1.19822,1.47895,1.29431,0.81221,0.92418,0.9348,0.60784,1.35325,2.09903,1.4661,0.000854359,0.000854359,0.000854359
16,1938.46,1.15852,1.43376,1.26653,0.7763,0.93333,0.929,0.57192,1.41786,2.0307,1.50087,0.000836027,0.000836027,0.000836027
17,2004.44,1.20748,1.61276,1.27689,0.74162,0.93333,0.93529,0.55054,1.45319,2.10026,1.46897,0.000817696,0.000817696,0.000817696
18,2071.05,1.08572,1.43034,1.23678,0.92659,0.9847,0.995,0.62346,1.38095,1.93857,1.37125,0.000799365,0.000799365,0.000799365
19,2143.19,1.12568,1.48554,1.25539,0.93128,0.9959,0.995,0.62753,1.43272,1.8312,1.38978,0.000781033,0.000781033,0.000781033
20,2234.99,1.10366,1.47527,1.25198,0.88681,0.95807,0.995,0.64032,1.36079,1.79601,1.31915,0.000762702,0.000762702,0.000762702
21,2346.8,1.09745,1.35326,1.21669,0.84961,0.82363,0.962,0.6227,1.269,1.68228,1.24593,0.00074437,0.00074437,0.00074437
22,2463.07,1.15832,1.55042,1.35483,0.91479,0.90782,0.995,0.70493,1.17766,1.4787,1.19873,0.000726038,0.000726038,0.000726038
23,2570.29,1.05013,1.39824,1.27681,0.90628,0.91218,0.995,0.69819,1.13926,1.44758,1.1996,0.000707707,0.000707707,0.000707707
24,2675.13,0.96751,1.29719,1.14394,0.97061,0.84662,0.9785,0.68225,1.08934,1.42682,1.16979,0.000689376,0.000689376,0.000689376
25,2799.86,0.9902,1.28602,1.21325,0.89149,0.94629,0.995,0.70504,1.05424,1.4607,1.13152,0.000671044,0.000671044,0.000671044
26,2881.82,1.06592,1.34315,1.3037,0.9393,0.89915,0.96403,0.67507,1.02725,1.54842,1.15928,0.000652712,0.000652712,0.000652712
27,2962.8,1.12394,1.38221,1.23866,0.92359,0.89317,0.96403,0.6491,1.04862,1.63255,1.17362,0.000634381,0.000634381,0.000634381
28,3032.49,1.10129,1.37659,1.32031,0.87969,0.89768,0.962,0.63277,1.04938,1.5418,1.18644,0.000616049,0.000616049,0.000616049
29,3101.69,0.97729,1.27198,1.25068,0.83005,0.92734,0.9686,0.69327,1.06061,1.49043,1.16627,0.000597718,0.000597718,0.000597718
30,3181.02,0.98521,1.19584,1.17762,0.92824,0.88248,0.9785,0.66698,1.08132,1.48629,1.24007,0.000579386,0.000579386,0.000579386
31,3258.65,0.99102,1.20003,1.17583,0.93863,0.88572,0.9785,0.66698,1.06941,1.39955,1.22304,0.000561055,0.000561055,0.000561055
32,3324.88,0.92429,1.09892,1.15489,0.91512,0.94675,0.995,0.67436,1.0961,1.35582,1.21136,0.000542723,0.000542723,0.000542723
33,3416.34,0.98138,1.22598,1.22745,0.93218,0.95229,0.995,0.66194,1.09105,1.30646,1.18257,0.000524392,0.000524392,0.000524392
34,3507.49,0.99275,1.27032,1.21885,0.86349,0.98542,0.995,0.71085,1.12504,1.35891,1.17602,0.00050606,0.00050606,0.00050606
35,3630.52,0.89475,1.15968,1.1269,0.85877,0.98101,0.995,0.70763,1.11489,1.38988,1.18005,0.000487729,0.000487729,0.000487729
36,3745.41,0.96338,1.15211,1.13984,0.87701,1,0.995,0.73908,1.12982,1.33117,1.1839,0.000469397,0.000469397,0.000469397
37,3847.71,0.93759,1.18563,1.17728,0.91727,1,0.995,0.74977,1.13299,1.2643,1.18265,0.000451066,0.000451066,0.000451066
38,3941.57,0.87974,1.07329,1.11283,0.8494,0.9832,0.962,0.7019,1.10241,1.21731,1.16436,0.000432734,0.000432734,0.000432734
39,4017.43,0.95533,1.16258,1.17626,0.92797,0.98077,0.995,0.69283,1.08336,1.18558,1.15232,0.000414403,0.000414403,0.000414403
40,4087.77,0.87267,1.0656,1.14718,0.84545,1,0.962,0.70883,1.04945,1.17939,1.13064,0.000396071,0.000396071,0.000396071
41,4153.53,0.84466,0.97838,1.09155,0.84929,0.97948,0.962,0.71455,1.03648,1.19795,1.12193,0.00037774,0.00037774,0.00037774
42,4225.62,0.86389,1.09511,1.10256,0.86637,0.98302,0.9785,0.7082,1.029,1.12281,1.10838,0.000359409,0.000359409,0.000359409
43,4325.98,0.76713,1.05139,1.09985,0.9526,0.97437,0.995,0.6907,1.03051,1.1123,1.1045,0.000341077,0.000341077,0.000341077
44,4403.62,0.79665,0.97974,1.11714,0.96175,0.99116,0.995,0.70988,1.02627,1.13105,1.09814,0.000322745,0.000322745,0.000322745
45,4480.11,0.81201,0.99515,1.08102,0.96946,0.99847,0.995,0.71225,1.0531,1.13745,1.12539,0.000304414,0.000304414,0.000304414
46,4567.53,0.80166,0.97102,1.06616,0.97297,1,0.995,0.71875,1.11498,1.11076,1.17361,0.000286083,0.000286083,0.000286083
47,4658.62,0.77762,0.99576,1.09624,0.97018,1,0.995,0.72465,1.12325,1.08435,1.18539,0.000267751,0.000267751,0.000267751
48,4759.44,0.80097,0.95454,1.08672,0.96735,1,0.995,0.72164,1.13053,1.10291,1.17807,0.00024942,0.00024942,0.00024942
49,4836.93,0.80738,0.97385,1.11724,0.95213,1,0.995,0.72402,1.1332,1.12482,1.17015,0.000231088,0.000231088,0.000231088
50,4900.6,0.81574,0.91756,1.10886,0.92689,1,0.995,0.71718,1.10861,1.08291,1.15301,0.000212757,0.000212757,0.000212757
51,4967.77,0.77187,1.25652,1.07888,0.93204,1,0.995,0.72162,1.08609,1.06943,1.14021,0.000194425,0.000194425,0.000194425
52,5046.22,0.73178,1.25176,1.04172,0.93963,0.99,0.995,0.72997,1.07314,1.09164,1.13434,0.000176094,0.000176094,0.000176094
